,0,1,2,3,4,5,6,7,8,9,10
106,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:10.73Z,40.488711708484004,power,power_consumption,sensor,global
107,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:11.734Z,45.92935897545433,power,power_consumption,sensor,global
108,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:13.743Z,43.80552271979974,power,power_consumption,sensor,global
109,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:14.747Z,42.6976948174339,power,power_consumption,sensor,global
110,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:15.751Z,26.01851722063899,power,power_consumption,sensor,global
111,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:16.754Z,35.57026501818677,power,power_consumption,sensor,global
112,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:17.759Z,90.18726038574812,power,power_consumption,sensor,global
113,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:18.763Z,47.58246416434437,power,power_consumption,sensor,global
114,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:19.767Z,35.2779655629379,power,power_consumption,sensor,global
115,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:20.771Z,46.966024087541626,power,power_consumption,sensor,global
116,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:21.775Z,46.74177979611509,power,power_consumption,sensor,global
117,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:22.779Z,36.66552693330259,power,power_consumption,sensor,global
118,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:23.783Z,49.76803825359215,power,power_consumption,sensor,global
119,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:24.787Z,50.07105593361707,power,power_consumption,sensor,global
120,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:25.791Z,39.27462515804284,power,power_consumption,sensor,global
121,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:26.795Z,35.50349864402302,power,power_consumption,sensor,global
122,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:27.799Z,36.86168364746006,power,power_consumption,sensor,global
123,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:28.803Z,45.609735504091105,power,power_consumption,sensor,global
124,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:29.807Z,38.96240672919204,power,power_consumption,sensor,global
125,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:30.811Z,46.87407188681145,power,power_consumption,sensor,global
126,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:31.815Z,45.589820947343604,power,power_consumption,sensor,global
127,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:32.819Z,45.56925724547144,power,power_consumption,sensor,global
128,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:33.823Z,46.03018156002844,power,power_consumption,sensor,global
129,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:34.827Z,47.74812336173577,power,power_consumption,sensor,global
130,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:36.834Z,48.17172666712515,power,power_consumption,sensor,global
131,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:37.838Z,36.969359252184915,power,power_consumption,sensor,global
132,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:38.843Z,46.616667321508665,power,power_consumption,sensor,global
133,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:39.847Z,37.98436933812423,power,power_consumption,sensor,global
134,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:40.851Z,45.345350071109856,power,power_consumption,sensor,global
135,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:41.855Z,37.21279598345429,power,power_consumption,sensor,global
136,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:42.859Z,15.011416164880956,power,power_consumption,sensor,global
137,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:43.863Z,24.077775195538997,power,power_consumption,sensor,global
